,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
31,Estiu,Tempestes Vénen del Sud,ZOO,2014-11-17,215736,0,0.644,0.0452,0.644,0.671,0.0,0.0824,-6.395,0.389,88.015,4
32,Llorando en la Limo (feat. Alizzz),Llorando en la Limo (feat. Alizzz),C. Tangana,2018-03-22,139354,47,0.779,0.036,0.779,0.371,1.32e-05,0.26,-8.89,0.163,155.087,4
33,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,2018-03-16,160184,79,0.699,0.779,0.699,0.304,0.000993,0.137,-11.192,0.0993,119.705,4
34,Coquito la Pieza,Maracucho Bueno Muere Chiquito,Cruz Cafuné,2018-03-16,188351,46,0.757,0.0734,0.757,0.789,0.0,0.236,-6.207,0.132,90.004,4
35,Perogrullo,Perogrullo,Bejo,2018-07-27,221176,0,0.795,0.912,0.795,0.693,0.00217,0.117,-8.005,0.352,102.009,4
36,Canela en Rama,Lo Mal Que Estoy y Lo Poco Que Me Quejo,El Kanka,2013-04-22,199505,0,0.79,0.733,0.79,0.487,0.0,0.107,-7.239,0.0567,103.036,4
37,Guarda'm l'aire,Cendra i or,Smoking Souls,2017-02-20,330429,30,0.318,0.00239,0.318,0.623,1.71e-06,0.258,-6.488,0.0369,88.026,4
38,Mira tú qué ritmo,Mira tú qué ritmo,Ayax y Prok,2017-12-29,158472,0,0.922,0.321,0.922,0.829,0.0,0.341,-6.027,0.308,125.725,4
39,Cojo el saco y me retiro,Rockallano,Astola,2015-12-01,286960,29,0.884,0.181,0.884,0.574,0.000373,0.0653,-7.567,0.0639,128.018,4
40,Bella - Remix,Bella (Remix),Wolfine,2018-05-04,218360,0,0.917,0.304,0.917,0.476,0.0,0.103,-6.621,0.0655,93.987,4
41,Cicatrices,Cicatrices,Natos y Waor,2018-02-13,180000,21,0.718,0.695,0.718,0.814,0.0,0.125,-5.467,0.345,120.04,4
42,Lo siento,Lo siento,Beret,2018-03-09,229939,0,0.419,0.576,0.419,0.407,0.0,0.138,-9.011,0.0446,79.839,4
43,Nosotros Lo Hicimos,21 Centimetros,Duo Kie,2008-03-26,253186,30,0.726,0.122,0.726,0.932,0.0,0.322,-3.125,0.209,90.917,4
44,Hoy,Surrealismo,Los De Marras,2014-09-30,202880,0,0.68,0.0277,0.68,0.934,1.9e-05,0.106,-4.787,0.0396,102.509,4
45,Mi Casa,Pa'l Coche,Various Artists,2017-02-09,166113,52,0.888,0.138,0.888,0.563,8.13e-06,0.116,-7.432,0.142,99.481,4
46,Torna'm,Temerario,Itaca Band,2015-03-16,207326,35,0.587,0.0207,0.587,0.743,0.0,0.0815,-6.648,0.0936,175.895,4
47,Niña voladora,Las canciones que escribí mientras volaba,Juanito Makandé,2014-11-15,222839,0,0.75,0.744,0.75,0.416,4.2e-05,0.156,-8.205,0.0996,145.135,4
48,Camina,Camina,AMBKOR,2018-06-12,235540,0,0.667,0.889,0.667,0.835,0.0,0.0907,-7.923,0.348,83.866,4
49,"A veces se me pasa, a veces paso",Cara y cruz,Ayax y Prok,2018-05-18,157890,0,0.717,0.104,0.717,0.953,0.0,0.21,-4.333,0.314,93.06,4
50,Llueve en Semana Santa,Así en el Cielo Como en la Selva,La Raíz,2013-03-01,271455,36,0.754,0.0214,0.754,0.879,0.0,0.498,-4.51,0.038,111.48,4
51,Me Inventaré (with Dani Martin),Dual,Funambulista,2017-02-03,256959,43,0.51,0.171,0.51,0.618,0.0,0.0983,-6.27,0.0299,136.191,4
52,Revoltes,Dolç Atac (Studio),Auxili,2013-11-13,184413,24,0.668,0.0905,0.668,0.807,0.0,0.118,-6.112,0.0314,163.848,4
53,Vuelve,Vuelve,Beret,2017-08-11,148633,0,0.689,0.546,0.689,0.456,0.0,0.104,-10.033,0.094,77.426,4
54,Alcohol i sal,Cendra i or,Smoking Souls,2017-02-20,256304,20,0.624,0.0088,0.624,0.639,0.0,0.156,-5.838,0.0401,102.479,4
55,Esbarzers,La Polseguera,La Gossa Sorda,2014-07-11,265386,44,0.816,0.0474,0.816,0.804,0.0,0.0838,-5.914,0.0365,143.97,4
56,Miénteme,Miénteme,Cruz Cafuné,2017-03-23,166996,44,0.886,0.261,0.886,0.382,0.0,0.109,-8.493,0.418,130.59,5
57,R U Mine?,AM,Arctic Monkeys,2013-09-09,201726,82,0.288,0.00616,0.288,0.758,0.0,0.303,-5.692,0.0371,97.094,4
58,Que Bello Es Vivir,Lo Mal Que Estoy y Lo Poco Que Me Quejo,El Kanka,2013-04-22,236762,0,0.582,0.7,0.582,0.649,0.0,0.118,-5.114,0.0687,104.575,4
59,Pausa,Pausa,IZAL,2018-02-23,172516,28,0.503,0.862,0.503,0.311,0.00225,0.0969,-11.379,0.028,81.937,4
60,Salgo a la Calle (Bonus Track),Boikotea!!! (Live),Boikot,2014-02-18,208480,37,0.669,0.00423,0.669,0.898,0.000301,0.0918,-4.988,0.0882,107.516,4
61,Elegiré,Así en el Cielo Como en la Selva,La Raíz,2013-03-01,277417,40,0.616,0.00583,0.616,0.692,0.0,0.0901,-5.31,0.0577,171.951,4
62,El roce de tu cuerpo,Muy Deficiente,Platero Y Tu,1992-06-12,250093,56,0.457,0.015,0.457,0.904,5.01e-05,0.2,-4.67,0.0659,171.633,4
63,Si tu vols,Tresors,Auxili,2018-03-16,235348,33,0.749,0.0135,0.749,0.72,0.0,0.0698,-7.923,0.0357,142.007,4
64,Esto es rojo y negro,Esto es rojo y negro,Ayax y Prok,2018-09-21,121263,0,0.72,0.34,0.72,0.647,0.0,0.0793,-10.538,0.586,95.286,4
65,Moonlight,?,XXXTENTACION,2018-03-16,135090,82,0.921,0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,128.009,4
66,Calavera no chilla,Calavera no chilla,Natos y Waor,2017-04-07,211428,9,0.668,0.326,0.668,0.736,9.88e-06,0.113,-4.883,0.043,84.033,4
67,Mango,Pa'l Coche,Various Artists,2017-02-09,177294,40,0.81,0.34,0.81,0.397,2.77e-06,0.181,-10.389,0.175,88.021,4
68,Ahí Va la Niña,Desde una Ventana,Andrés Suárez,2017-05-26,180906,42,0.781,0.468,0.781,0.511,0.0,0.11,-5.934,0.0547,122.852,4
69,No me beses en la boca,No soy de nadie,Kutxi Romero,2016-03-18,229177,0,0.705,0.831,0.705,0.304,0.164,0.0674,-13.212,0.0296,113.916,3
70,Cállate,Un año bajo la lluvia,AMBKOR,2009-11-30,180636,0,0.627,0.317,0.627,0.891,0.0,0.125,-5.096,0.302,167.926,4
71,Monstruos,Monstruos,Leiva,2016-08-26,243880,47,0.419,0.109,0.419,0.44,0.000311,0.347,-8.023,0.025,78.737,4
72,Malos pelos,Astola & Raton: El Hombre Caracol,Astola,2018-04-02,216421,15,0.663,0.322,0.663,0.788,0.0,0.579,-6.642,0.158,138.166,4
73,Diez Mil Porqués,Inéditos,Beret,2016-08-12,210151,0,0.718,0.319,0.718,0.611,0.0,0.132,-7.502,0.083,139.917,4
74,Hui la liem,Tresors,Auxili,2018-03-16,226844,37,0.823,0.0116,0.823,0.817,2.55e-06,0.07,-7.088,0.0547,103.526,4
75,Zapatillas,Zapatillas,El Canto Del Loco,2005,172640,63,0.428,0.0281,0.428,0.956,0.0,0.58,-2.382,0.178,198.076,4
76,Antes de Morirme (feat. Rosalía),Antes de Morirme (feat. Rosalía),C. Tangana,2016-07-05,199994,0,0.865,0.0718,0.865,0.498,0.00312,0.108,-8.882,0.168,97.921,4
77,Si No Te Tengo,Hijos de la Tierra,Green Valley,2014-03-22,327029,0,0.755,0.0522,0.755,0.595,1.27e-05,0.106,-9.078,0.0917,129.954,4
78,Ventiladors,Raval,ZOO,2017-03-24,214247,0,0.839,0.0439,0.839,0.834,0.0,0.12,-3.705,0.125,120.023,4
79,Voy a Celebrarlo,Si uno no se rinde,Lágrimas De Sangre,2015-04-27,392561,52,0.665,0.354,0.665,0.718,0.0,0.584,-8.06,0.238,95.065,4
80,Copenhague,Un Día en el Mundo,Vetusta Morla,2008-04-21,303693,60,0.559,0.411,0.559,0.742,0.0107,0.133,-3.945,0.0243,92.959,4
81,La vereda de la puerta de atrás,"Yo, Minoría Absoluta",Extremoduro,2002-03-01,243320,63,0.403,0.437,0.403,0.893,0.000173,0.11,-2.735,0.0474,141.194,4
82,Mardy Bum,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006-01-29,175440,73,0.634,0.0288,0.634,0.599,0.0,0.197,-5.447,0.0365,112.215,4
83,Como Solía,Como Solía,Cruz Cafuné,2018-07-13,200072,38,0.878,0.205,0.878,0.543,3.81e-06,0.095,-4.707,0.0441,119.942,4
84,Ojalá,Ojalá,Beret,2017-04-21,220909,0,0.503,0.661,0.503,0.615,0.0,0.122,-9.128,0.137,153.478,4
85,Borracha y Callejera,Así en el Cielo Como en la Selva,La Raíz,2013-03-01,242569,37,0.733,0.00223,0.733,0.65,0.0,0.118,-5.953,0.0312,119.013,4
86,Caminaré,Caminaré,Natos y Waor,2018-01-09,276000,7,0.709,0.329,0.709,0.55,2.09e-05,0.0939,-5.518,0.0872,140.081,4
87,Te Doy Media Noche,Mi Pequeña Historia,Andrés Suárez,2015-06-01,173453,41,0.527,0.688,0.527,0.338,0.0,0.116,-9.63,0.0366,70.554,3
88,Same Love (feat. Mary Lambert),The Heist,Macklemore & Ryan Lewis,2012-10-10,320034,0,0.56,0.718,0.56,0.475,2.18e-05,0.0994,-9.05,0.173,84.899,4
89,Com Camot,Tresors,Auxili,2018-03-16,204655,33,0.803,0.0416,0.803,0.799,0.0,0.1,-5.785,0.0563,97.012,4
90,Química,Química,Juancho Marqués,2017-06-02,226666,0,0.272,0.0861,0.272,0.542,0.000767,0.102,-10.671,0.0615,86.817,4
91,Vasos Vacíos,¿Quién Nos Va a Salvar?,La Maravillosa Orquesta del Alcohol,2013-10-15,188931,49,0.516,0.0512,0.516,0.537,0.0,0.0787,-12.513,0.0411,144.887,4
92,Free Tibet - Vini Vici Remix,Free Tibet (Vini Vici Remix),Hilight Tribe,2016-02-01,474782,0,0.383,0.0131,0.383,0.947,0.697,0.143,-5.93,0.0654,103.512,3
93,Corazon de mimbre,Coces al Aire 1997-2007,Marea,2007-12-04,337666,55,0.521,0.0235,0.521,0.928,0.0,0.0961,-3.548,0.0837,90.555,4
94,Eterna força (ParatgesPreferits) - Live,Eterna força (ParatgesPreferits) [Live],Smoking Souls,2018-04-30,237500,0,0.513,0.858,0.513,0.465,0.0,0.36,-6.318,0.0593,95.859,4
95,Do I Wanna Know?,AM,Arctic Monkeys,2013-09-09,272394,87,0.548,0.186,0.548,0.532,0.000263,0.217,-7.596,0.0323,85.03,4
96,Gin and Drugs (feat. Problem),Rolling Papers 2,Wiz Khalifa,2018-07-13,153756,45,0.829,0.131,0.829,0.803,0.0,0.636,-4.153,0.258,98.968,4
97,Generación perdida,Cicatrices,Natos y Waor,2018-02-13,184000,9,0.679,0.355,0.679,0.752,1.09e-06,0.0985,-4.726,0.309,89.903,4
98,"Ama, ama, ama y ensancha el alma - Versión 2004",Grandes exitos y fracasos (Episodio 1º),Extremoduro,2004-05-03,167840,43,0.482,0.128,0.482,0.858,0.00564,0.0991,-3.946,0.0682,165.876,4
99,De Mar en Mar,El Lado de los Rebeldes,La Raíz,2011-03-02,296426,39,0.748,0.088,0.748,0.884,0.0,0.0528,-5.471,0.0393,99.024,4
