,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Fresas con nata,Fresas con nata,Ayax y Prok,2018-02-21,210000,0,0.824,0.126,0.824,0.617,0.0,0.105,-10.429,0.437,115.899,4
1,Amén,Pa'l Coche,Various Artists,2017-02-09,191478,42,0.685,0.13,0.685,0.48,0.0,0.119,-10.174,0.335,183.973,4
2,Llórame - Acústico,Llórame (Acústico),Zetazen,2018-03-16,233453,45,0.537,0.946,0.537,0.468,0.0,0.098,-8.551,0.0606,102.725,3
3,Nit salvatge,Nit salvatge,Smoking Souls,2015-12-14,259833,40,0.587,8.93e-05,0.587,0.675,3e-05,0.0984,-6.734,0.0313,109.978,4
4,Amorfoda,Amorfoda,Bad Bunny,2018-02-15,155675,0,0.742,0.984,0.742,0.432,5.78e-05,0.0796,-7.539,0.0615,148.005,3
5,Ermitaño,Astola & Raton: El Hombre Caracol,Astola,2018-04-02,212369,37,0.756,0.782,0.756,0.543,0.0,0.286,-7.488,0.133,99.947,4
6,Cóseme,Cóseme,Beret,2017-01-20,198919,0,0.572,0.852,0.572,0.0434,0.0,0.086,-31.042,0.093,155.833,4
7,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,0,0.906,0.000243,0.906,0.625,3.23e-05,0.0975,-6.779,0.0903,150.018,4
8,180,Temerario,Itaca Band,2015-03-16,225870,38,0.702,0.0187,0.702,0.722,0.0,0.335,-6.406,0.0445,101.976,4
9,Underground Kings,Underground Kings,Natos y Waor,2017-12-22,162041,0,0.793,0.0651,0.793,0.812,2.55e-05,0.106,-6.989,0.188,119.97,4
10,Comiendote a Besos,Con Derecho A...,Rozalén,2013-03-12,241986,57,0.585,0.603,0.585,0.539,0.0,0.229,-5.105,0.039,120.095,4
11,Desahucio,Cara y cruz,Ayax y Prok,2018-05-18,205322,0,0.846,0.135,0.846,0.847,0.0,0.0889,-4.42,0.248,93.034,4
12,Un Fleje - Wayne Chiquitito Skit,Maracucho Bueno Muere Chiquito,Cruz Cafuné,2018-03-16,97456,29,0.664,0.0508,0.664,0.822,0.000541,0.468,-5.459,0.451,152.117,4
13,Ya Verás (with Andrés Suárez),Dual,Funambulista,2017-02-03,247466,45,0.567,0.167,0.567,0.625,0.0,0.203,-5.55,0.0301,138.956,4
14,Eterna força,Cendra i or,Smoking Souls,2017-02-20,226668,33,0.623,0.0121,0.623,0.561,0.0,0.102,-7.22,0.0393,101.999,4
15,Cuarteles de Invierno (#magasingle),Cuarteles de Invierno (#magasingle),Vetusta Morla,2015-04-21,239482,25,0.472,0.659,0.472,0.74,3.95e-05,0.104,-5.675,0.0341,169.879,4
16,Guerrera,Guerrera,DELLAFUENTE,2017-12-14,208695,61,0.76,0.165,0.76,0.605,0.0,0.185,-6.122,0.052,115.09,4
17,Capitán Cobarde,Palabras Del Capitán Cobarde,Albertucho,2010-04-13,239973,36,0.587,0.435,0.587,0.512,2.51e-06,0.155,-6.658,0.0386,119.948,4
18,SAD!,?,XXXTENTACION,2018-03-16,166605,83,0.74,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,4
19,El Tren Huracán,El Tren Huracán,La Raíz,2012-03-30,251715,48,0.704,0.0483,0.704,0.792,0.0,0.0691,-8.732,0.0513,120.031,4
20,Dime Quien Ama de Verdad,Inéditos,Beret,2016-08-12,178000,0,0.762,0.51,0.762,0.407,0.0,0.135,-9.658,0.425,82.062,4
21,La prueba,Anclas,Gata Cattana,2012,296000,0,0.357,0.0553,0.357,0.66,0.0316,0.104,-11.227,0.134,139.771,4
22,Rude Girl,Dolç Atac (Studio),Auxili,2013-11-13,166818,42,0.858,0.212,0.858,0.888,2.63e-06,0.0378,-5.069,0.0417,137.978,4
23,Cuenta Conmigo,Maracucho Bueno Muere Chiquito,Cruz Cafuné,2018-03-16,212863,43,0.807,0.155,0.807,0.451,0.0,0.107,-7.177,0.0416,120.06,4
24,Temerario,Temerario,Itaca Band,2015-03-16,201802,42,0.65,0.0167,0.65,0.804,0.0,0.0976,-8.147,0.0575,150.028,4
25,Ese cosquilleo,Cara y cruz,Ayax y Prok,2018-05-18,206533,0,0.691,0.504,0.691,0.817,0.0,0.368,-5.573,0.32,89.963,4
26,Addictes,Nòmades,Smoking Souls,2015-02-03,231106,19,0.402,6.75e-05,0.402,0.934,0.0,0.275,-5.085,0.238,181.037,4
27,Hopeless Romantic (feat. Swae Lee),Rolling Papers 2,Wiz Khalifa,2018-07-13,226742,67,0.877,0.307,0.877,0.477,0.0,0.0929,-7.379,0.0587,127.023,4
28,Carretera,Carretera,Natos y Waor,2016-12-01,214588,11,0.673,0.734,0.673,0.753,0.0,0.111,-6.632,0.0549,84.96,4
29,Contigo,Pa'fuera y Pa'dentro,La Otra,2015,200416,0,0.699,0.62,0.699,0.275,9.55e-06,0.101,-11.898,0.0457,120.305,4
30,Quan caminàvem,Essència,Aspencat,2013-05-05,234893,0,0.705,0.0251,0.705,0.805,0.0,0.187,-6.28,0.0507,95.042,4
