,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,A las Cosas por Su Nombre,Vivir para Contarlo,Violadores Del Verso,2006,259920,46,0.885,0.214,0.885,0.877,1.44e-06,0.116,-5.269,0.171,91.985,4
1,Good News,Good News,Mac Miller,2020-01-09,342040,55,0.794,0.853,0.794,0.32,0.134,0.112,-12.92,0.173,174.088,4
2,"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7","Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",Bizarrap,2019-11-07,137365,54,0.924,0.0995,0.924,0.622,0.0,0.0971,-6.824,0.233,130.063,4
3,En tu agujero,Besos de Perro,Marea,2002-04-19,304399,50,0.561,0.212,0.561,0.861,0.0088,0.0841,-4.791,0.0672,92.894,4
4,Como el Sol 2011,Kase.O Jazz Magnetism,Kase.O,2011-12-05,283840,51,0.812,0.176,0.812,0.579,0.0,0.219,-8.124,0.187,93.004,4
5,Solsticio de Invierno,Solsticio de Invierno,TribuTrip,2020-06-23,103578,0,0.719,0.554,0.719,0.602,0.0,0.115,-13.107,0.0839,95.02,4
6,Tarde,Tarde,Luisaker,2020-01-17,225885,0,0.837,0.55,0.837,0.659,0.0,0.107,-8.202,0.141,135.832,4
7,High Today (feat. Logic),The Saga of Wiz Khalifa,Wiz Khalifa,2020-04-20,199970,57,0.775,0.269,0.775,0.629,0.0,0.111,-5.315,0.0669,112.835,4
8,Si Tú Supieras,Hueso y Carne,Iratxo,2016-03-04,294626,8,0.433,0.857,0.433,0.579,4.35e-06,0.102,-4.333,0.0901,80.021,4
9,Ladders,Swimming,Mac Miller,2018-08-03,287040,71,0.802,0.236,0.802,0.463,0.00531,0.105,-8.379,0.162,103.961,4
10,Vive,Vive,Luisaker,2020-06-05,194429,0,0.685,0.186,0.685,0.737,0.0,0.0705,-7.08,0.227,184.076,4
11,"Dani Ribba: Bzrp Music Sessions, Vol. 24","Dani Ribba: Bzrp Music Sessions, Vol. 24",Bizarrap,2020-03-04,173251,46,0.913,0.287,0.913,0.689,0.0,0.104,-7.74,0.349,129.889,4
12,Con mi voz,Buenos dias,Mäbu,2011-03-07,185533,36,0.752,0.39,0.752,0.627,0.00334,0.127,-4.997,0.042,129.848,4
13,Radioactive,Radioactive,Imagine Dragons,2014-01-01,276040,65,0.483,0.0407,0.483,0.894,0.0,0.282,-3.9,0.223,139.858,4
14,Seat Blanco,Lo Primero Es Lo Segundo,Grupo Viral,2020-06-18,254066,0,0.621,0.41,0.621,0.462,2.97e-05,0.277,-6.58,0.0242,99.867,4
15,"Bejo: Bzrp Music Sessions, Vol. 27","Bejo: Bzrp Music Sessions, Vol. 27",Bizarrap,2020-04-22,175438,43,0.78,0.291,0.78,0.695,0.0,0.089,-6.716,0.474,80.196,4
16,Segundo movimiento: lo de fuera,La ley innata,Extremoduro,2008-08-26,703226,50,0.257,0.156,0.257,0.86,0.11,0.53,-4.476,0.0789,174.701,4
17,Demons,Night Visions,Imagine Dragons,2012-09-04,177506,84,0.505,0.19,0.505,0.71,0.00025,0.269,-3.015,0.0321,89.938,4
18,Lluvias de Abril,Niebla Y Hollín,Exceso,2010-12-08,162466,34,0.258,0.00789,0.258,0.914,0.0,0.0684,-4.505,0.217,191.959,4
19,Los Buenos,Los Ríos de Alice (Original Game Soundtrack),Vetusta Morla,2013-04-21,255045,49,0.665,0.7,0.665,0.489,0.0489,0.683,-8.572,0.0285,117.292,4
20,Nítido,Nítido,Luisaker,2020-03-13,246000,0,0.723,0.808,0.723,0.539,0.0,0.283,-10.094,0.417,80.11,4
21,Ciego,A Versos y a Bocaos,Iratxo,2009,256888,23,0.586,0.856,0.586,0.385,7.82e-05,0.1,-9.409,0.061,91.175,4
22,Intocable,R.I.P.R.O 3,Lacrim,2017-11-17,224386,47,0.787,0.489,0.787,0.78,0.0,0.0845,-7.419,0.296,92.044,4
23,Natural,Origins (Deluxe),Imagine Dragons,2018-11-09,189466,81,0.704,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,100.0,4
24,Vientos de octubre,"Recopilación, Vol. II",Día Sexto,2015-02-01,428292,18,0.46,0.86,0.46,0.354,1.01e-06,0.112,-13.205,0.119,91.992,4
25,Lost Stars,V (Deluxe),Maroon 5,2015-05-18,267853,58,0.494,0.102,0.494,0.582,0.0,0.0798,-4.769,0.0266,82.025,4
26,#RapSinCorte XXXVIII,#RapSinCorte XXXVIII,Foyone,2019-10-29,142641,0,0.753,0.312,0.753,0.807,0.0,0.099,-6.049,0.194,105.95,4
